Komentar,comment_clean,comment_preprocessing,comment_DLD,label
Kami tidak menuntut bangsa ini kaya tapi kami menuntut keadilan ini ada kalian terlalu besar membangun nya sehingga kami warga kecil pun tidak kelihatan lagi untuk pemerintah 😢,kami tidak menuntut bangsa ini kaya tapi kami menuntut keadilan ini ada kalian terlalu besar membangun nya sehingga kami warga kecil pun tidak kelihatan lagi untuk pemerintah,"['tuntut', 'bangsa', 'tuntut', 'adil', 'bangun', 'warga', 'perintah']","['tuntut', 'bangsa', 'tuntut', 'adil', 'bangun', 'warga', 'perintah']",Negatif
nyusahin,nyusahin,['nyusahin'],['nyaman'],Negatif
Dan gw aalah satu orang yg ngga bangga/kagum dengan pembangunan IKN ini😂😂,dan gw aalah satu orang yg ngga bangga kagum dengan pembangunan ikn ini,"['orang', 'bangga', 'kagum', 'bangun', 'ikn']","['orang', 'bangga', 'kaum', 'bangun', 'ikn']",Negatif
"Jangan terlalu berharap negara Indonesia maju apabila pemerintah mengabaikan pendidikan di Indonesia , di tambah biaya hidup + inflasi lebih besar dari pada gaji UMR. Dan gw sebagai anak SMA mengkritik hal ini dan herannya masyarakat Indonesia lebih mementingkan makanan gratis",jangan terlalu berharap negara indonesia maju apabila pemerintah mengabaikan pendidikan di indonesia di tambah biaya hidup inflasi lebih besar dari pada gaji umr dan gw sebagai anak sma mengkritik hal ini dan herannya masyarakat indonesia lebih mementingkan makanan gratis,"['harap', 'negara', 'indonesia', 'maju', 'perintah', 'abai', 'didik', 'indonesia', 'biaya', 'hidup', 'inflasi', 'gaji', 'umr', 'anak', 'kritik', 'heran', 'masyarakat', 'indonesia', 'penting', 'makan', 'gratis']","['harap', 'negara', 'indonesia', 'maju', 'perintah', 'abam', 'didik', 'indonesia', 'biaya', 'hidup', 'inflasi', 'gaji', 'umi', 'anak', 'kritik', 'heran', 'masyarakat', 'indonesia', 'penting', 'makan', 'gratis']",Negatif
"semoga seluruh rakyat indonesia semakin sejahtera, merdeka",semoga seluruh rakyat indonesia semakin sejahtera merdeka,"['moga', 'rakyat', 'indonesia', 'sejahtera', 'merdeka']","['moga', 'rakyat', 'indonesia', 'sejahtera', 'merdeka']",Positif
"Semoga Rakyat Indonesia tambah sejahtera, bukan pejabatnya sajah",semoga rakyat indonesia tambah sejahtera bukan pejabatnya sajah,"['moga', 'rakyat', 'indonesia', 'sejahtera', 'jabat']","['moga', 'rakyat', 'indonesia', 'sejahtera', 'jagat']",Positif
Kya nya yg merdeka bukan buat rakyat jelata deh,kya nya yg merdeka bukan buat rakyat jelata deh,"['merdeka', 'rakyat', 'jelata']","['merdeka', 'rakyat', 'jelata']",Negatif
Semoga kualitas dan fasilitas pendidikan lebih di tinggikan lebih di unggulkan. Bukan hanya tiang bendera yg meninggi 👍.,semoga kualitas dan fasilitas pendidikan lebih di tinggikan lebih di unggulkan bukan hanya tiang bendera yg meninggi,"['moga', 'kualitas', 'fasilitas', 'didik', 'tinggi', 'unggul', 'tiang', 'bendera', 'tinggi']","['moga', 'kualitas', 'fasilitas', 'didik', 'tinggi', 'unggul', 'tiang', 'bendera', 'tinggi']",Positif
"Mudah2 yg duduk di istana yg baru, , orang2 yg baru, yg bersih dgn tempat yg masih bersih",mudah yg duduk di istana yg baru orang yg baru yg bersih dgn tempat yg masih bersih,"['mudah', 'duduk', 'istana', 'orang', 'bersih', 'bersih']","['mudah', 'duduk', 'istana', 'orang', 'bersih', 'bersih']",Positif
Apahhhhh IKN kota hasil dengan dana pinjaman... neragara kita belum merdeka bung,apahhhhh ikn kota hasil dengan dana pinjaman neragara kita belum merdeka bung,"['ikn', 'kota', 'hasil', 'dana', 'pinjam', 'nagara', 'merdeka']","['ikn', 'kota', 'hasil', 'dana', 'pinjam', 'nagari', 'merdeka']",Negatif
"Owh ini yg jadi pengganti nya monas, Doa terbaik walaupun rakyat g baik2 saja",owh ini yg jadi pengganti nya monas doa terbaik walaupun rakyat g baik saja,"['owh', 'ganti', 'monas', 'doa', 'baik', 'rakyat']","['owned', 'ganti', 'monas', 'doa', 'baik', 'rakyat']",Positif
Benderanya tinggi tapi hukumnya kebawah,benderanya tinggi tapi hukumnya kebawah,"['bendera', 'hukum', 'bawah']","['bendera', 'hukum', 'bawah']",Negatif
Percuma tiang tinggi tapii hukum di tumpul kan ..,percuma tiang tinggi tapii hukum di tumpul kan,"['tiang', 'hukum', 'tumpul']","['tiang', 'hukum', 'turpuk']",Negatif
1.Hukum harus jujur dan adil 2. Sejahterakan rakyat 3. Berantas korupsi,hukum harus jujur dan adil sejahterakan rakyat berantas korupsi,"['hukum', 'jujur', 'adil', 'sejahtera', 'rakyat', 'berantas', 'korupsi']","['hukum', 'jujur', 'adil', 'sejahtera', 'rakyat', 'beranda', 'korupsi']",Negatif
Semoga uang rakyat digunakan dgn baik,semoga uang rakyat digunakan dgn baik,"['moga', 'uang', 'rakyat']","['moga', 'uang', 'rakyat']",Negatif
"Semangat untuk para pekerja yg ada IKN, semoga kalian semua di berikan kesehatan,tanpa kerja keras kalian yg tidak kenal waktu siang dan malam, IKN tidak akan semegah ini. Semangat 45.😍😍😍👏👏👏",semangat untuk para pekerja yg ada ikn semoga kalian semua di berikan kesehatan tanpa kerja keras kalian yg tidak kenal waktu siang dan malam ikn tidak akan semegah ini semangat,"['semangat', 'kerja', 'ikn', 'moga', 'sehat', 'kerja', 'keras', 'kenal', 'siang', 'malam', 'ikn', 'megah', 'semangat']","['semangat', 'kerja', 'ikn', 'moga', 'sehat', 'kerja', 'keras', 'kenal', 'siang', 'malam', 'ikn', 'megah', 'semangat']",Positif
IKN Ibu Kota Lawak,ikn ibu kota lawak,"['ikn', 'kota', 'lawak']","['ikn', 'kota', 'lawak']",Negatif
Ada dapat kabr bahwa ank smp gak bisa baca huruf😢,ada dapat kabr bahwa ank smp gak bisa baca huruf,"['kabar', 'anak', 'baca', 'huruf']","['kabar', 'anak', 'baca', 'huruf']",Negatif
"menurut saya kita belum merdeka, secara de facto kita memang merdeka, tapi lihat lah keadaan rakyat kita yang belanja di mall kebanyakan bukan orang pribumi, orang pribumi yang kebanyakan mengais tong sampah, inikah yang di sebut merdeka?",menurut saya kita belum merdeka secara de facto kita memang merdeka tapi lihat lah keadaan rakyat kita yang belanja di mall kebanyakan bukan orang pribumi orang pribumi yang kebanyakan mengais tong sampah inikah yang di sebut merdeka,"['merdeka', 'fakta', 'merdeka', 'lihat', 'rakyat', 'belanja', 'mall', 'banyak', 'orang', 'pribumi', 'orang', 'pribumi', 'banyak', 'kais', 'tong', 'sampah', 'merdeka']","['merdeka', 'fakta', 'merdeka', 'lihat', 'rakyat', 'belanja', 'mall', 'banyak', 'orang', 'pribumi', 'orang', 'pribumi', 'banyak', 'kalis', 'tong', 'sampah', 'merdeka']",Negatif
1 m lebih mungkin biayanya,m lebih mungkin biayanya,['biaya'],['biaya'],Negatif
Terlalu ambisi sedangkan rakyatnya sulit dan dibuat sulit👏,terlalu ambisi sedangkan rakyatnya sulit dan dibuat sulit,"['ambisi', 'rakyat', 'sulit', 'sulit']","['ambisi', 'rakyat', 'sulit', 'sulit']",Negatif
"Kadang bangga lihat IKN Begitu mewah…
Disisi lain tadi melihat postingan anak papua pakai seragam SD, ga pakai sepatu, bukunya lusuh yang nangis gara” pensilnya patah…
Rasanya koq kaya ga adil ya..

Indonesiaku 😢",kadang bangga lihat ikn begitu mewah disisi lain tadi melihat postingan anak papua pakai seragam sd ga pakai sepatu bukunya lusuh yang nangis gara pensilnya patah rasanya koq kaya ga adil ya indonesiaku,"['kadang', 'bangga', 'lihat', 'ikn', 'mewah', 'sisi', 'postingan', 'anak', 'papua', 'pakai', 'seragam', 'pakai', 'sepatu', 'buku', 'lusuh', 'nang', 'gara', 'pensil', 'patah', 'adil', 'indonesia']","['kadang', 'bangga', 'lihat', 'ikn', 'mewah', 'sisi', 'postingan', 'anak', 'papua', 'pakai', 'seraga', 'pakai', 'sepatu', 'buku', 'lusuh', 'nanti', 'gara', 'pensil', 'patah', 'adil', 'indonesia']",Negatif
Waow tinggi juga ya 👏 hutangnya,waow tinggi juga ya hutangnya,"['keren', 'hutang']","['keren', 'hutang']",Negatif
Tinggi kan Kesejahteraan Rakyat Jelata.,tinggi kan kesejahteraan rakyat jelata,"['sejahtera', 'rakyat', 'jelata']","['sejahtera', 'rakyat', 'jelata']",Negatif
"Wow berdiri tegak , tapi bukan keadilan",wow berdiri tegak tapi bukan keadilan,"['keren', 'diri', 'tegak', 'adil']","['keren', 'diri', 'tegak', 'adil']",Negatif
"Alhamdulilah bapak presiden jokowi bisa ngimbangin rakyat dan bisa membangun bangsa,,, semoga presiden selanjutnya bisa melanjutkan semua rencana bapak presiden jokowi,, ❤❤❤❤",alhamdulilah bapak presiden jokowi bisa ngimbangin rakyat dan bisa membangun bangsa semoga presiden selanjutnya bisa melanjutkan semua rencana bapak presiden jokowi,"['alhamdulilah', 'presiden', 'jokowi', 'ngimbangin', 'rakyat', 'bangun', 'bangsa', 'moga', 'presiden', 'lanjut', 'rencana', 'presiden', 'jokowi']","['alhamdulillah', 'presiden', 'jokowi', 'ngapain', 'rakyat', 'bangun', 'bangsa', 'moga', 'presiden', 'lanjut', 'rencana', 'presiden', 'jokowi']",Positif
"Saya orang Kalimantan Selatan berharap banyak pada IKN, bukan buat saya tapi nanti buat anak cucu kita, kerna betapa melimpahnya sumberdaya di kalimantan tapi orang kalimantan tidak bisa menikmatinya, sudah saatnya indonesia centris indonesia merata pembangunanya , kita dukung capres yg meneruskan IKN 🔥🔥🔥",saya orang kalimantan selatan berharap banyak pada ikn bukan buat saya tapi nanti buat anak cucu kita kerna betapa melimpahnya sumberdaya di kalimantan tapi orang kalimantan tidak bisa menikmatinya sudah saatnya indonesia centris indonesia merata pembangunanya kita dukung capres yg meneruskan ikn,"['orang', 'kalimantan', 'selatan', 'harap', 'ikn', 'anak', 'cucu', 'betapa', 'limpah', 'sumberdaya', 'kalimantan', 'orang', 'kalimantan', 'nikmat', 'indonesia', 'centris', 'indonesia', 'rata', 'pembangunanya', 'dukung', 'capres', 'terus', 'ikn']","['orang', 'kalimantan', 'selatan', 'harap', 'ikn', 'anak', 'cucu', 'betapa', 'limbah', 'sumberdaya', 'kalimantan', 'orang', 'kalimantan', 'nikmat', 'indonesia', 'central', 'indonesia', 'rata', 'pembangunannya', 'dukung', 'capres', 'terus', 'ikn']",Positif
"Saya sebagai warga  masyarakat , sangat berharap lanjutkan  IKN  semoga lekas selesai ,  demi menyongsong INDONESIA  EMAS  DI TAHUN 2045,
Para Generasi muda Indonesia  lah  kedepan yang sangat Berperan....",saya sebagai warga masyarakat sangat berharap lanjutkan ikn semoga lekas selesai demi menyongsong indonesia emas di tahun para generasi muda indonesia lah kedepan yang sangat berperan,"['warga', 'masyarakat', 'harap', 'lanjut', 'ikn', 'moga', 'lekas', 'selesai', 'songsong', 'indonesia', 'emas', 'generasi', 'muda', 'indonesia', 'depan', 'peran']","['warga', 'masyarakat', 'harap', 'lanjut', 'ikn', 'moga', 'lekas', 'selesai', 'songsong', 'indonesia', 'emas', 'generasi', 'muda', 'indonesia', 'depan', 'peran']",Positif
Saya orang lombok NTB bangga dgn pemindahan ibu kota di Kalimantan yaitu IKN jd semua belahan pulau merasakan pembangunan demi Indonesia maju kedepan buat anak bangsa ke emas antam.,saya orang lombok ntb bangga dgn pemindahan ibu kota di kalimantan yaitu ikn jd semua belahan pulau merasakan pembangunan demi indonesia maju kedepan buat anak bangsa ke emas antam,"['orang', 'lombok', 'ntb', 'bangga', 'pindah', 'kota', 'kalimantan', 'ikn', 'bahan', 'pulau', 'rasa', 'bangun', 'indonesia', 'maju', 'depan', 'anak', 'bangsa', 'emas', 'antam']","['orang', 'lombok', 'ntb', 'bangga', 'pindah', 'kota', 'kalimantan', 'ikn', 'bahan', 'pulau', 'rasa', 'bangun', 'indonesia', 'maju', 'depan', 'anak', 'bangsa', 'emas', 'anam']",Positif
Orang sulawesidari utara  sampai selatan bangga dengan adanya ikn trims  pada bapak Presiden jokowi,orang sulawesidari utara sampai selatan bangga dengan adanya ikn trims pada bapak presiden jokowi,"['orang', 'sulawesi', 'utara', 'selatan', 'bangga', 'ikn', 'terimakasih', 'presiden', 'jokowi']","['orang', 'sulawesi', 'utara', 'selatan', 'bangga', 'ikn', 'terindikasi', 'presiden', 'jokowi']",Positif
Aku sebagai warga kalimantan sangat trimakasih dengan bpak jokowidodo atas pembangunan IKN buat masa depan cucu kita nanti .......,aku sebagai warga kalimantan sangat trimakasih dengan bpak jokowidodo atas pembangunan ikn buat masa depan cucu kita nanti,"['warga', 'kalimantan', 'terimakasih', 'jokowidodo', 'bangun', 'ikn', 'cucu']","['warga', 'kalimantan', 'terindikasi', 'jokowi', 'bangun', 'ikn', 'cucu']",Positif
Assalamualaikum ikut mendengarkan terus maju Bapak presiden sehat berjuang untuk rakyat Bismillah berkah,assalamualaikum ikut mendengarkan terus maju bapak presiden sehat berjuang untuk rakyat bismillah berkah,"['dengar', 'maju', 'presiden', 'sehat', 'juang', 'rakyat', 'moga', 'berkah']","['dengar', 'maju', 'presiden', 'sehat', 'jung', 'rakyat', 'moga', 'berkah']",Positif
Indonesia yang dibutuhkan rakyat membuka lapangan kerja keadilan dan pemerataan dan semua propinsi sama harus dibangun sama rata,indonesia yang dibutuhkan rakyat membuka lapangan kerja keadilan dan pemerataan dan semua propinsi sama harus dibangun sama rata,"['indonesia', 'butuh', 'rakyat', 'buka', 'lapang', 'kerja', 'adil', 'perata', 'propinsi', 'bangun']","['indonesia', 'butuh', 'rakyat', 'buka', 'lapang', 'kerja', 'adil', 'peraga', 'provinsi', 'bangun']",Negatif
"Sebagai Warga Makassar, bangga Ibu Kotq Nusantara dibangun di Kalimantan.
🇮🇩🫡 LANJUTKAN IKN 🫡🇮🇩",sebagai warga makassar bangga ibu kotq nusantara dibangun di kalimantan lanjutkan ikn,"['warga', 'makassar', 'bangga', 'kota', 'nusantara', 'bangun', 'kalimantan', 'lanjut', 'ikn']","['warga', 'makassar', 'bangga', 'kota', 'nusantara', 'bangun', 'kalimantan', 'lanjut', 'ikn']",Positif
"Pak jokowi adalah bapak pembangun negara masa kini/indonesia sentris....
Kami rakyat selalu di belakang pak jokowi...❤❤",pak jokowi adalah bapak pembangun negara masa kini indonesia sentris kami rakyat selalu di belakang pak jokowi,"['jokowi', 'bangun', 'negara', 'indonesia', 'sentris', 'rakyat', 'jokowi']","['jokowi', 'bangun', 'negara', 'indonesia', 'segaris', 'rakyat', 'jokowi']",Positif
Saya dipulau jawa dukung bapak karna melihat pulau lain harus maju juga dari pulau jawa karna kami tidak mau ada kata iri dari saudara diluar pulau jawa ❤ terimakasih pak,saya dipulau jawa dukung bapak karna melihat pulau lain harus maju juga dari pulau jawa karna kami tidak mau ada kata iri dari saudara diluar pulau jawa terimakasih pak,"['pulau', 'jawa', 'dukung', 'pulau', 'maju', 'pulau', 'jawa', 'iri', 'saudara', 'luar', 'pulau', 'jawa', 'terimakasih']","['pulau', 'jawa', 'dukung', 'pulau', 'maju', 'pulau', 'jawa', 'ir', 'saudara', 'luar', 'pulau', 'jawa', 'terindikasi']",Positif
"Ya' Allah ya Tuhanku, mudahkan bapak Jokowi Presiden RI menjalankan tugas sebagai Presiden RI presiden Jokowi sangat dicintai Rakyat Indonesia ✌️👍🇮🇩",ya allah ya tuhanku mudahkan bapak jokowi presiden ri menjalankan tugas sebagai presiden ri presiden jokowi sangat dicintai rakyat indonesia,"['tuhan', 'mudah', 'jokowi', 'presiden', 'jalan', 'tugas', 'presiden', 'presiden', 'jokowi', 'cinta', 'rakyat', 'indonesia']","['tuhan', 'mudah', 'jokowi', 'presiden', 'jalan', 'tugas', 'presiden', 'presiden', 'jokowi', 'cinta', 'rakyat', 'indonesia']",Positif
Saya pribadi sebagai rakyat Indonesia sangat mendukung ikn demi masa depan anak cucu kita bangsa Indonesia,saya pribadi sebagai rakyat indonesia sangat mendukung ikn demi masa depan anak cucu kita bangsa indonesia,"['pribadi', 'rakyat', 'indonesia', 'dukung', 'ikn', 'anak', 'cucu', 'bangsa', 'indonesia']","['pribadi', 'rakyat', 'indonesia', 'dukung', 'ikn', 'anak', 'cucu', 'bangsa', 'indonesia']",Positif
Pokoknya bpk Jokowi LG ngebangun wahai RAKYAT INDONESIA mari kita dukung.  !!!,pokoknya bpk jokowi lg ngebangun wahai rakyat indonesia mari kita dukung,"['pokok', 'jokowi', 'ngebangun', 'rakyat', 'indonesia', 'mari', 'dukung']","['pokok', 'jokowi', 'ngebung', 'rakyat', 'indonesia', 'mari', 'dukung']",Positif
"Lanjutkan IKN , kami rakyat Indonesia mendukung penuh pembangunan IKN salam dari Sulselbar 🙏",lanjutkan ikn kami rakyat indonesia mendukung penuh pembangunan ikn salam dari sulselbar,"['lanjut', 'ikn', 'rakyat', 'indonesia', 'dukung', 'penuh', 'bangun', 'ikn']","['lanjut', 'ikn', 'rakyat', 'indonesia', 'dukung', 'penuh', 'bangun', 'ikn']",Positif
"Lanjutkan IKN BPK.JOKOWI,HIDUP PRESIDEN JOKOWI❤❤❤",lanjutkan ikn bpk jokowi hidup presiden jokowi,"['lanjut', 'ikn', 'jokowi', 'hidup', 'presiden', 'jokowi']","['lanjut', 'ikn', 'jokowi', 'hidup', 'presiden', 'jokowi']",Positif
"Yang jelas saya cinta dgn bapak Presiden jokowidodo,, 
Tanpa bapak jokowidodo jln"" tol pengnghubung antar kota tidak akan berdiri, walaupun saya tak pernah menikmatinya karna memang keterbatasan ekonomi namun saya tetap bangga dan cinta kepada bapak Presiden jokowidodo, 
Semoga bapak jokowidodo panjang umur dan bangkit kembali menjadi bapak Presiden lagi setelah priode ini,, aamiin aamiin aamiin Allahuma aamiin 🤲🤲",yang jelas saya cinta dgn bapak presiden jokowidodo tanpa bapak jokowidodo jln tol pengnghubung antar kota tidak akan berdiri walaupun saya tak pernah menikmatinya karna memang keterbatasan ekonomi namun saya tetap bangga dan cinta kepada bapak presiden jokowidodo semoga bapak jokowidodo panjang umur dan bangkit kembali menjadi bapak presiden lagi setelah priode ini aamiin aamiin aamiin allahuma aamiin,"['cinta', 'presiden', 'jokowidodo', 'jokowidodo', 'jln', 'tol', 'pengnghubung', 'kota', 'diri', 'nikmat', 'batas', 'ekonomi', 'bangga', 'cinta', 'presiden', 'jokowidodo', 'moga', 'jokowidodo', 'umur', 'bangkit', 'presiden', 'priode']","['cinta', 'presiden', 'jokowi', 'jokowi', 'jln', 'tol', 'penghubung', 'kota', 'diri', 'nikmat', 'batas', 'ekonomi', 'bangga', 'cinta', 'presiden', 'jokowi', 'moga', 'jokowi', 'umur', 'bangkit', 'presiden', 'prime']",Positif
Kemajuan itu harus merata terutama yg tertinggal......maju terus PK Jokowi untuk kemajuan indonesia,kemajuan itu harus merata terutama yg tertinggal maju terus pk jokowi untuk kemajuan indonesia,"['maju', 'rata', 'tinggal', 'maju', 'pk', 'jokowi', 'maju', 'indonesia']","['maju', 'rata', 'tinggal', 'maju', 'pk', 'jokowi', 'maju', 'indonesia']",Positif
"Terus utang negara lu  yg mau nanggung? Jika Indonesia SDH sejahtera tak lagi di pajak duit APBN  menggunung ,utang tak ada , silahkan membangun. Bangun apa saja silahkan,",terus utang negara lu yg mau nanggung jika indonesia sdh sejahtera tak lagi di pajak duit apbn menggunung utang tak ada silahkan membangun bangun apa saja silahkan,"['utang', 'negara', 'nanggung', 'indonesia', 'sejahtera', 'pajak', 'uang', 'apbn', 'gunung', 'utang', 'silah', 'bangun', 'bangun', 'silah']","['utang', 'negara', 'namun', 'indonesia', 'sejahtera', 'pajak', 'uang', 'apbn', 'gunung', 'utang', 'silat', 'bangun', 'bangun', 'silat']",Negatif
Kenapa kinerja Jokowi sngt baik ko msh ada orang yg usil.,kenapa kinerja jokowi sngt baik ko msh ada orang yg usil,"['kerja', 'jokowi', 'orang', 'usil']","['kerja', 'jokowi', 'orang', 'usil']",Positif
"Anis sudah menentang ikn ..
Apa mau di pilih 😂",anis sudah menentang ikn apa mau di pilih,"['tentang', 'ikn', 'pilih']","['tentang', 'ikn', 'pilih']",Negatif
"Kalau untuk meratakan pembabgunan bukan harus mwmindahkan ibu kota indonesia malahan membuang buang anggaran,sementara ibukota masih bisa dipakai",kalau untuk meratakan pembabgunan bukan harus mwmindahkan ibu kota indonesia malahan membuang buang anggaran sementara ibukota masih bisa dipakai,"['rata', 'pembabgunan', 'mwmindahkan', 'kota', 'indonesia', 'buang', 'buang', 'anggar', 'ibukota', 'pakai']","['rata', 'pembangunan', 'mw', 'kota', 'indonesia', 'buang', 'buang', 'anggar', 'ibukota', 'pakai']",Negatif
Sebaiknya perbaiki dulu ekonomi yang carut-marut baru pindahin ibukota.,sebaiknya perbaiki dulu ekonomi yang carut marut baru pindahin ibukota,"['baik', 'ekonomi', 'carut', 'marut', 'pindahin', 'ibukota']","['baik', 'ekonomi', 'carut', 'malut', 'pindai', 'ibukota']",Negatif
Aku dri sunda sangat setuju dgn pembangunan IKN.mudah mudahan dgn adanya IKN pemerataan dn kesahjatraAn bisa terwujud,aku dri sunda sangat setuju dgn pembangunan ikn mudah mudahan dgn adanya ikn pemerataan dn kesahjatraan bisa terwujud,"['sunda', 'tuju', 'bangun', 'ikn', 'mudah', 'mudah', 'ikn', 'perata', 'kesahjatraan', 'wujud']","['sunda', 'tujuh', 'bangun', 'ikn', 'mudah', 'mudah', 'ikn', 'peraga', 'kesastraan', 'wujud']",Positif
Mana katanya gratis satu bulan berarti bohong2 betul,mana katanya gratis satu bulan berarti bohong betul,"['gratis', 'bohong']","['gratis', 'bohong']",Negatif
Sy dr medan setuju IKN..d kalimantan..,sy dr medan setuju ikn d kalimantan,"['medan', 'tuju', 'ikn', 'kalimantan']","['medan', 'tujuh', 'ikn', 'kalimantan']",Positif
Hampir semua propinsi di bangun infrastruktur bahkan dengan adanya dana desa harusnya desa yg paling ploksok pun bisa dibangun jelan2 dan bedah rumah yg kurang layak huni.,hampir semua propinsi di bangun infrastruktur bahkan dengan adanya dana desa harusnya desa yg paling ploksok pun bisa dibangun jelan dan bedah rumah yg kurang layak huni,"['propinsi', 'bangun', 'infrastruktur', 'dana', 'desa', 'desa', 'ploksok', 'bangun', 'jel', 'bedah', 'rumah', 'layak', 'huni']","['provinsi', 'bangun', 'infrastruktur', 'dana', 'desa', 'desa', 'pletok', 'bangun', 'jeli', 'bedah', 'rumah', 'layak', 'huni']",Negatif
Saya sebagai warga Sulawesi tetap ngak setuju,saya sebagai warga sulawesi tetap ngak setuju,"['warga', 'sulawesi', 'tuju']","['warga', 'sulawesi', 'tujuh']",Negatif
Kalau uang nya pakai uang BPK saya setuju ... Tetapi kalau pakai uang Rakyat saya tidak setuju,kalau uang nya pakai uang bpk saya setuju tetapi kalau pakai uang rakyat saya tidak setuju,"['uang', 'pakai', 'uang', 'tuju', 'pakai', 'uang', 'rakyat', 'tuju']","['uang', 'pakai', 'uang', 'tujuh', 'pakai', 'uang', 'rakyat', 'tujuh']",Negatif
Masyarakat Indonesia masih di bawah garis kemiskinan .. masyarakat Indonesia masih belum sejahtera,masyarakat indonesia masih di bawah garis kemiskinan masyarakat indonesia masih belum sejahtera,"['masyarakat', 'indonesia', 'garis', 'miskin', 'masyarakat', 'indonesia', 'sejahtera']","['masyarakat', 'indonesia', 'garis', 'miskin', 'masyarakat', 'indonesia', 'sejahtera']",Negatif
Pemerataan kota di bangun jangan fokus ikn,pemerataan kota di bangun jangan fokus ikn,"['perata', 'kota', 'bangun', 'fokus', 'ikn']","['peraga', 'kota', 'bangun', 'fokus', 'ikn']",Negatif
Kalo seandainya anggaran IKN digunakan untuk mengembangkan kota2 yg sudah ada di bagian timur...  Kota yg kecil menjadi menengah dan kota yg menengah menjadi kota besar...Apakah akan ada perubahan terhadap kota2 tersebut? Apakah akan berpengaruh terhadap pertumbuhan ekonomi??,kalo seandainya anggaran ikn digunakan untuk mengembangkan kota yg sudah ada di bagian timur kota yg kecil menjadi menengah dan kota yg menengah menjadi kota besar apakah akan ada perubahan terhadap kota tersebut apakah akan berpengaruh terhadap pertumbuhan ekonomi,"['anda', 'anggar', 'ikn', 'kembang', 'kota', 'timur', 'kota', 'tengah', 'kota', 'tengah', 'kota', 'ubah', 'kota', 'pengaruh', 'tumbuh', 'ekonomi']","['andai', 'anggar', 'ikn', 'kembang', 'kota', 'timur', 'kota', 'tengah', 'kota', 'tengah', 'kota', 'ubah', 'kota', 'pengaruh', 'tumbuh', 'ekonomi']",Positif
"Kompak kita bro, saya orang Kalimantan Tengah mendukung pembangunan IKN Nusantara. Ternyata Kaltim dengan Sulawesi Selatan sangat dekat, makanya di Kaltim dan Kalsel banyak Orang Sulawesi Selatan. Saya pernah mampir di Pagatan Kabupaten Tanah Bumbu, Kalsel,  penduduknya 80℅ Suku Bugis. S
aya bertanya kepada masyarakat Pagatan : Kenapa masyarakat Pagatan berbahasa Banjar dan dijawab : walaupun kami dari Sulawesi tetapi kami orang Pagatan, saya sangat terharu mendengar penjelasan. Mereka sangat menjunjung tinggi pepatah di mana bumi dipijak di situlah langit dijunjung.",kompak kita bro saya orang kalimantan tengah mendukung pembangunan ikn nusantara ternyata kaltim dengan sulawesi selatan sangat dekat makanya di kaltim dan kalsel banyak orang sulawesi selatan saya pernah mampir di pagatan kabupaten tanah bumbu kalsel penduduknya suku bugis s aya bertanya kepada masyarakat pagatan kenapa masyarakat pagatan berbahasa banjar dan dijawab walaupun kami dari sulawesi tetapi kami orang pagatan saya sangat terharu mendengar penjelasan mereka sangat menjunjung tinggi pepatah di mana bumi dipijak di situlah langit dijunjung,"['kompak', 'orang', 'kalimantan', 'dukung', 'bangun', 'ikn', 'nusantara', 'nyata', 'kaltim', 'sulawesi', 'selatan', 'kaltim', 'kalsel', 'orang', 'sulawesi', 'selatan', 'mampir', 'pagatan', 'kabupaten', 'tanah', 'bumbu', 'kalsel', 'duduk', 'suku', 'bugis', 'masyarakat', 'pagatan', 'masyarakat', 'pagatan', 'bahasa', 'banjar', 'sulawesi', 'orang', 'pagatan', 'haru', 'dengar', 'jelas', 'junjung', 'pepatah', 'bumi', 'pijak', 'situ', 'langit', 'junjung']","['kompak', 'orang', 'kalimantan', 'dukung', 'bangun', 'ikn', 'nusantara', 'nyata', 'kaltim', 'sulawesi', 'selatan', 'kaltim', 'kaset', 'orang', 'sulawesi', 'selatan', 'mampir', 'pahatan', 'kabupaten', 'tanah', 'bumbu', 'kaset', 'duduk', 'suku', 'bugil', 'masyarakat', 'pahatan', 'masyarakat', 'pahatan', 'bahasa', 'banjar', 'sulawesi', 'orang', 'pahatan', 'hari', 'dengar', 'jelas', 'junjung', 'pepagan', 'bumi', 'pijat', 'situ', 'langit', 'junjung']",Positif
saya orang sumatra setuju dengan IKN,saya orang sumatra setuju dengan ikn,"['orang', 'sumatera', 'tuju', 'ikn']","['orang', 'sumatera', 'tujuh', 'ikn']",Positif
 @burhanismuradcaniago5262  Alasan apa buat IKN??? nggak jelas.,alasan apa buat ikn nggak jelas,"['alas', 'ikn']","['alas', 'ikn']",Negatif
"Saya dukung BP, Jokowi salam Jawa Barat,",saya dukung bp jokowi salam jawa barat,"['dukung', 'jokowi', 'jawa', 'barat']","['dukung', 'jokowi', 'jawa', 'barat']",Positif
KKN klo di lanjutkan sama saja org miskin memberi makan orang  kaya kasian orang miskin,kkn klo di lanjutkan sama saja org miskin memberi makan orang kaya kasian orang miskin,"['lanjut', 'orang', 'miskin', 'makan', 'orang', 'kasihan', 'orang', 'miskin']","['lanjut', 'orang', 'miskin', 'makan', 'orang', 'kasihan', 'orang', 'miskin']",Negatif
